iter	Passed	Remaining
407	5533	1247
408	5547	1234
409	5562	1221
410	5576	1207
411	5591	1194
412	5604	1180
413	5619	1167
414	5632	1153
415	5646	1140
416	5660	1126
417	5673	1113
418	5687	1099
419	5700	1085
420	5715	1072
421	5729	1058
422	5743	1045
423	5757	1032
424	5771	1018
425	5794	1006
426	5807	992
427	5822	979
428	5836	965
429	5851	952
430	5865	938
431	5878	925
432	5891	911
433	5904	897
434	5917	884
435	5930	870
436	5945	857
437	5958	843
438	5971	829
439	5985	816
440	5998	802
441	6011	788
442	6023	775
443	6037	761
444	6051	747
445	6064	734
446	6078	720
447	6093	707
448	6105	693
449	6118	679
450	6131	666
451	6145	652
452	6158	639
453	6172	625
454	6185	611
455	6199	598
456	6213	584
457	6226	570
458	6239	557
459	6252	543
460	6266	530
461	6279	516
462	6292	502
463	6306	489
464	6319	475
465	6333	462
466	6347	448
467	6362	435
468	6376	421
469	6390	407
470	6403	394
471	6416	380
472	6430	367
473	6444	353
474	6458	339
475	6471	326
476	6485	312
477	6499	299
478	6512	285
479	6525	271
480	6539	258
481	6552	244
482	6566	231
483	6579	217
484	6593	203
485	6608	190
486	6622	176
487	6634	163
488	6647	149
489	6660	135
490	6674	122
491	6686	108
492	6700	95
493	6713	81
494	6729	67
495	6743	54
496	6756	40
497	6769	27
498	6783	13
499	6797	0
