iter	RMSE
370	1256.33909
371	1256.16621
372	1255.639111
373	1255.431004
374	1255.226644
375	1254.970976
376	1254.72699
377	1254.578265
378	1254.272064
379	1254.190003
380	1253.977891
381	1253.524829
382	1253.348668
383	1253.221364
384	1252.88755
385	1252.655302
386	1252.491495
387	1252.175392
388	1251.954165
389	1251.646149
390	1251.461702
391	1251.287257
392	1251.149134
393	1251.009258
394	1250.851215
395	1250.68345
396	1250.4841
397	1250.327578
398	1250.287411
399	1249.974997
400	1249.832996
401	1249.631804
402	1249.388462
403	1249.184128
404	1248.942465
405	1248.662676
406	1248.225998
407	1248.025851
408	1247.908583
409	1247.675466
410	1247.499418
411	1247.155523
412	1246.833788
413	1246.579883
414	1246.395707
415	1246.074198
416	1245.520179
417	1245.05227
418	1244.880669
419	1244.555968
420	1244.309458
421	1244.148851
422	1243.877919
423	1243.655961
424	1243.347282
425	1243.150713
426	1242.906663
427	1242.63074
428	1242.589293
429	1242.257773
430	1241.919971
431	1241.607833
432	1241.358346
433	1241.216235
434	1241.117253
435	1240.780446
436	1240.486755
437	1240.232363
438	1239.956594
439	1239.787462
440	1239.513144
441	1239.488145
442	1239.194301
443	1238.868572
444	1238.610294
445	1238.44513
446	1238.237922
447	1238.037644
448	1237.856669
449	1237.748472
450	1237.518318
451	1237.308256
452	1237.03852
453	1236.967629
454	1236.7738
455	1236.401643
456	1236.099611
457	1235.72402
458	1235.487311
459	1235.316976
460	1235.02635
461	1234.837156
462	1234.718193
463	1234.539703
464	1234.398055
465	1234.258095
466	1233.914717
467	1233.72792
468	1233.528842
469	1233.370932
470	1233.221635
471	1233.006793
472	1232.827712
473	1232.591592
474	1232.09732
475	1231.863301
476	1231.625389
477	1231.446565
478	1231.087417
479	1230.976287
480	1230.808777
481	1230.563105
482	1230.328802
483	1230.13278
484	1229.886084
485	1229.609477
486	1229.455774
487	1229.378904
488	1229.219431
489	1229.105144
490	1228.873704
491	1228.858606
492	1228.628835
493	1228.454971
494	1228.283653
495	1228.137521
496	1227.962297
497	1227.775111
498	1227.493871
499	1227.202271
